NOME,CNPJ,END.,SITE,SEG,FOMATO,TFIXO,RESPON,EMAIL,NCM1,NCM2,MOTIVO,IMPORT,IMPORTK,PAISES,CARGO
Gaia Agro Solutions Comercio Importacao e Exportacao LTDA,30.705.509/0001-09,"Avenida Queiroz Filho 1560 Conj 301 Edif Rouxinol, Vila Hamburguesa, São Paulo SP",https://www.instagram.com/gaiaagrosolutions/,Sports and Hobbie and Toys,Distribuidor,551138358489 ,Rose Rodrigues,rose.rodrigues@gaiasol.com.br,380899,,Avaliação de novos fornecedores,Sim,Não,"Europa, Índia",CEO
Aline Marcal de Souza Lima,16.740.295/0001-72,"Rua Vereador Jose Messias 100, Santa Rita, Borda da Mata MG",http://minasimport.net/plus/,Health & Medical devices,Distribuidor,553132149000 ,Tiago,vendas1@minasimport.net,90189,,Avaliação de novos fornecedores,Sim,Sim,"Coreia do sul, USA",DIRETOR
Glick Importacao de Alimentos LTDA,44.497.223/0001-81,Rua Henrique Michels Junior 300 Sala 44 Cordeiros ,,Food and Drinks,Distribuidor,5511983832655 ,Teresa,teresa@glickimports.com.br,210120,,Demanda futura (Importação nos próximos 6 meses),Não,Não,,CEO
Lin Hua Liu Iwersen LTDA,24.992.997/0001-71,"Rua Victor Meirelles, 251",https://www.toriiprodutosorientais.com.br/,Food and Drinks,Varejista,554830357523 ,Rafael Meneghetti,administrativo@toriiprodutosorientais.com.br,21069090,,Demanda futura (Importação nos próximos 6 meses),Não,Não,,STAFF
MERCEARIA O & G LTDA.,11.466.941/0001-31,"RUA TRES RIOS, 251 - FUNDOSCLEMENTE A. MOURA 84 - BOM RETIRO - SAO PAULO - SP - 01123-001",WWW.OTUGUIGMS.COM.BR,Food and Drinks,Varejista,5511999820074 ,RICARDO HÁ,tresrios245@gmail.com,210420,210420,Avaliação de novos fornecedores,Não,Não,,
DINPAR PARAFUSOS LTDA,06.233.927/0001-58,"Logradouro: Rua Soldado Jose Antonio Moreira, 200

Complemento: Av Sgto Miguel de Sousa Filho 28

Bairro: Jardim Japao

",https://www.dinpar.com.br/,Automobiles & Vehicles,Distribuidor,551129846844 ,Ms Aglair Dias,aglair@dinpar.com.br,870830,,Avaliação de novos fornecedores,Não,Não,,STAFF
NOVUS - PRODUTOS ELETRONICOS LTDA,88.176.995/0001-97,"RUA ENGENHEIRO HOMERO CARLOS SIMON, 737",www.novus.com.br,"Electronics, Computers & Telecommunication",Indústria,555133233609 ,Rafael Holanda,rafael.holanda@novusautomation.com,850650,,Demanda imediata (Importação nos próximos 3 Meses),Sim,Sim,"China, Europa, Coreia do sul, USA",STAFF
Dpaschoal Comercial Automotiva S.a.,45.987.005/0001-98,"Logradouro: Avenida Anton Von Zuben, 2155

Bairro: Sao Jose",https://www.dpaschoal.com.br/,Automobiles & Vehicles,Distribuidor,,Ulisses Queiroz,ulisses.queiroz@dpaschoal.com.br,870830,,Avaliação de novos fornecedores,Sim,Não,,MANAGER
Argentum Comercio LTDA,34.594.393/0001-20,"RUA LUIS GOIS, 1489 MIRANDOPOLIS",https://argentumhedge.com,Beauty & Living Ware,Distribuidor,5548991728625 ,Victor Koga,victtorkoga@freibergopus.com,711311,711311,Demanda imediata (Importação nos próximos 3 Meses),Sim,Não,China,CEO
COSPLAY UNIVERSE - COMERCIO DE COSMETICOS E ARTIGOS DE OPTICA LTDA,33.334.567/0001-53,"Avenida Parada Pinto, 901",https://cosplayuniverse.com.br/,Beauty & Living Ware,Distribuidor,5511961317592 ,Barbara Duzzi,cosplay.universe@hotmail.com,900130,,Demanda imediata (Importação nos próximos 3 Meses),Sim,Sim,Coreia do sul,CEO
Apex Comercial Ltda,44.381.245/0001-81,"Rua Tenente Setubal, 5",https://cdrbrasil.com/,Health & Medical devices,Distribuidor,5527998559527 ,Pablo Margotto,apexcomercialltda@gmail.com,48182000,,Demanda futura (Importação nos próximos 6 meses),Sim,Não,China,CEO
LEDIG SOLUTIONS - CONSULTORIA LTDA,20.546.467/0001-49,"RUA MARINA VIEIRA DE CARVALHO MESQUITA, 675",www.ledig.com.br,Others,Distribuidor,5511981173780 ,Marcelo Guimarães,marcelo@ledig.com.br,903089,903089,Demanda imediata (Importação nos próximos 3 Meses),Sim,Sim,China,CEO
Mac Empreendimentos Comerciais LTDA.,12.934.783/0001-60,"Rua Abrahão Calux, 41",https://www.macorientalfood.com.br/,Sports and Hobbie and Toys,Distribuidor,5511982820304 ,André Cho,andre@macorientalfood.com.br,210420,210420,Demanda imediata (Importação nos próximos 3 Meses),Sim,Sim,Coreia do sul,CEO
MARCOPOLO SA,88.611.835/0008-03,"Avenida Rio Branco, 4889
ANA RECH

",https://marcopolo.com.br/,Automobiles & Vehicles,Indústria,,Deandro Rech,deandro.rech@marcopolo.com.br,820730,730630,Conference Call,Não,Não,,MANAGER
PETRIUN COMERCIO E SERVIÇOS LTDA,18.786.440/0001-81,"RUA PAULO VACILOTTO, 250",https://www.petriun.com.br/,Machinery & Heavy equipment,Distribuidor,5519997711478 ,Jean Perine,jeanperine@hotmail.com,841480,,Demanda imediata (Importação nos próximos 3 Meses),Sim,Sim,Europa,CEO
"Sunguider Comercio, Importacao e Exportacao Ltda",00.606.287/0001-06,"Rua Joaquim Nunes Teixeira, 86",https://sunguider.gupy.io/,"Electronics, Computers & Telecommunication",Distribuidor,551158523535 ,Francisco Lima,francisco.lima@sunguider.com.br,85166000,85166000,Demanda imediata (Importação nos próximos 3 Meses),Sim,Não,China,CEO
COMERCIAL BUCALO LTDA,61.081.881/0007-00,"ALAMEDA GABRIEL MONTEIRO DA SILVA, 924",https://www.bucalo.com.br/,Furniture & Home Decor,Distribuidor,551130877877 ,Ricardo Berzoliti ,corporativo@bucalo.com.br,481420,481420,Demanda imediata (Importação nos próximos 3 Meses),Sim,Sim,China,CEO
 SYNCROFILM DISTRIBUIDORA LTDA,50.649.003/0001-29,"Rua Gomes de Carvalho, 1666",www.syncrofilm.com.br,Health & Medical devices,Distribuidor,551151122222 ,Fernando Zoppi,fzs@syncrofilm.com.br,330499,,Demanda futura (Importação nos próximos 6 meses),Sim,Sim,"China, Europa, Coreia do sul",DIRETOR
MTO IMPORTADORA E DISTRIBUIDORA,11.097.356/0001-01,"Rua Marques do Herval 1236
Complemento: Sala 903
Centro",https://mtoimportadora.com.br/,Health & Medical devices,Distribuidor,555130993900 ,Rafael Magalhães,rafael@mtoimportadora.com.br,90183290,,Demanda imediata (Importação nos próximos 3 Meses),Sim,Sim,"China, Coreia do sul, CANADA",CEO
REACH LATAM CONSULTORIA E COMERCIO EXTERIOR LTDA,24.662.773/0001-00,"RODOVIA REGIS BITTENCOURT, 1962 - GALPAO05 SETOR MA SALA H - JARDIM MIMAS",https://rlatam.com.br/,Chemicals & Pharmaceuticals,Distribuidor,5511934515138 ,Igor Miranda,igor@rlatam.com.br,300590,,Demanda futura (Importação nos próximos 6 meses),Sim,Não,China,CEO
Ems S/A,57.507.378/0003-65,"Rodovia Jornalista Francisco Aguirre Proenca S/N Km 08 Bloco I, II e V
Chacara Assay
Hortolândia SP",https://www.ems.com.br/,Chemicals & Pharmaceuticals,Indústria,551938879301 ,Daniela Solha,daniela.solha@ncfarma.com.br,300490,300490,Demanda futura (Importação nos próximos 6 meses),Sim,Não,"China, Índia",MANAGER
CELEBRIM IMPORTACOES E DISTRIBUICOES LTDA,13.272.983/0002-48,Rua Vieira de Moraes 1111,www.celebrim.com.br,Health & Medical devices,Distribuidor,551134360625 ,Bruno Donice,bdonice@celebrim.com.br,85437093,33049990,Avaliação de novos fornecedores,Sim,Sim,"China, Índia, Coreia do sul, USA",MANAGER
Beauty Solutions Comercio de Produtos Cosmeticos e Correlatos S.a.,42.533.087/0001-02,"Rua Parana 107 Sala 36
Chacara do Solar I (Fazendinha)
Santana de Parnaíba SP
",www.toskani.com.br,Beauty & Living Ware,Distribuidor,555511997103490 ,Gustavo Manteiga Corerato,gustavo.corerato@importbs.com,33049990,,Avaliação de novos fornecedores,Não,Não,Europa,CEO
QUATTROR COMERCIAL LTDA,11.916.306/0002-90,"Avenida Calama, 1.118, Sala 204, Olaria",https://quattror.com.br/,Beauty & Living Ware,Trading,555511997103490 ,Gustavo Corerato,gustavo.corerato@importbs.com,33049990,,Avaliação de novos fornecedores,Sim,Sim,"China, Europa, Índia, Coreia do sul, USA",CEO
EMBRAER S.A,07.689.002/0001-89,"Avenida Brigadeiro Faria Lima, 2170",https://www.embraer.com/,Automobiles & Vehicles,Indústria,551239276713 ,Mery Helen Martins ,mery.martins@embraer.com.br,730792,391731,Demanda imediata (Importação nos próximos 3 Meses),Sim,Sim,,STAFF
"MICROSUTURE INDUSTRIA, COMERCIO, IMPORTACAO, EXPORTACAO E REPRESENTACAO DE MATERIAIS CIRURGICOS LTDA",07.415.772/0001-33,"RUA LAVINIO SALLES ARCURI, 791",www.microsuture.com.br,Health & Medical devices,Indústria,5511968653477 ,Ivan Ardito,ivan.microsuture@gmail.com,30061090,,Demanda imediata (Importação nos próximos 3 Meses),Sim,Sim,,CEO
WINNING TRADING S.A.,13.352.623/0002-56,"RUA MANOEL VIEIRA GARCAO, 120, SALA 1602",www.brasuture.com.br,Health & Medical devices,Indústria,5519998282724 ,Marcello Caio Marcondes,marcello@brasuture.com.br,30061090,,Demanda imediata (Importação nos próximos 3 Meses),Sim,Sim,,CEO
ANDREZA ENXOVAIS - OLIVEIRA & LOPES LTDA,54.514.294/0001-07,"RUA RIO BRANCO, 173 183 E 193 VILA SANTA TEREZA IBITINGA - SP 14940-386",contabil@andrezaenxovais.com.br,Textiles & Leather Products,Distribuidor,551633419000 ,MANOEL ROBERTO ALVES,contabil@andrezaenxovais.com.br,550320,,,,,,
ETR PRODUTOS MEDICOS LTDA,38.175.270/0001-06,"Rua Luigi Galvani, 42
Conj 33
CIDADE MONCOES",www.ethera.com.br,Health & Medical devices,Distribuidor,5511982984747 ,Daniel Trecenti Santos,daniel@ethera.com.br,30061090,,Demanda imediata (Importação nos próximos 3 Meses),Sim,Não,"China, Europa",CEO
Medicalvis Importadora e Distribuidora de Produtos Para A Saude LTDA,34.894.054/0001-60,"Avenida Queiroz Filho, 1700
Sala 804-805-807
VILA HAMBURGUESA
",www.medicalvis.com.br,Beauty & Living Ware,Distribuidor,551191856587 ,Katia Lima Costa,k.costa@medicalvis.com.br,330499,330410,Demanda futura (Importação nos próximos 6 meses),Sim,Não,"China, Índia",CEO
FRAMAR IMPORTACAO E EXPORTACAO LTDA,07.407.069/0003-45,"RUA DAS AZALEIAS, 437 - SALA 104 2.PISO",http://www.framarinternacional.com.br/,Others,Trading,551132274740 ,Francisca Chung Kwon,fran@framarinternacional.com.br,55032090,,Demanda imediata (Importação nos próximos 3 Meses),Sim,Sim,"China, Coreia do sul",DIRETOR
AUSTEX INDUSTRIA E COMERCIO LTDA,53.359.089/0003-05,"RUA PEDRO RANGEL, 413, SALA 105 14 E",http://www.austex.com.br/,Beauty & Living Ware,Indústria,551121672111 ,Harry Miklautz,harry@austex.com.br,55032090,,Demanda imediata (Importação nos próximos 3 Meses),Sim,Sim,"China, Coreia do sul",DIRETOR
ROZAC COMERCIO IMPORTACAO E EXPORTACAO DE PRODUTOS TEXTEIS SA,05.629.653/0004-09,"Rua Dom Pedro II, 404 - Vila Santa Catarina",https://www.rozac.com.br/,Beauty & Living Ware,Indústria,551921084600 ,Moisa Nilo,moisa.nilo@rozac.com.br,550320,,Demanda imediata (Importação nos próximos 3 Meses),Sim,Não,China,STAFF
HOYA LENS BRAZIL FABRICACAO DE ARTIGOS OPTICOS LTDA,68.571.041/0001-71,"GOTEMBURGO, 190,",https://lentes-hoya.com.br/,Health & Medical devices,Indústria,552121028000 ,MARCELO SATO HIGUCHI,hlbr-fiscal@hoya.com,630710,481820,Demanda futura (Importação nos próximos 6 meses),Sim,Sim,Coreia do sul,CEO
OPTICA BRASILEIRA E TECNOLOGIA LTDA,90.239.120/0001-39,"
GENERAL VITORINO, 77, LOJA 01",https://www.instagram.com/oticasbrasileira/,Health & Medical devices,Varejista,555132227033 ,Moacir Kulisz,atendimento@oticabrasileira.com.br,630710,481820,Demanda futura (Importação nos próximos 6 meses),Sim,Sim,Coreia do sul,CEO
Desembala Solucoes Sustentaveis LTDA,31.288.090/0001-91,Rua Coronel Francisco Braz 1123,www.desembala.com.br,Beauty & Living Ware,Atacadista,553536235289 ,CILENE,admin@desembala.com.br,34029039,,Demanda futura (Importação nos próximos 6 meses),Sim,Não,Espanha,CEO
Guerra Distribuidora Guerra Comercio de Acessorios LTDA,12.569.223/0001-53,"QNH 1, Lote 12, Loja 2 72130-510 ",https://guerradistribuidora.com.br/v2/,Automobiles & Vehicles,Distribuidor,,Rodrigo Guerra,contato@guerradistribuidora.com.br,851762,,Conference Call,Não,Não,,CEO
3C Autopecas Importacao e Comercio,19.427.291/0001-27,"Alameda Francisco Alves, 230 - Jardim, ",https://www.3cautopecas.com.br/,Automobiles & Vehicles,Distribuidor,551126775503 ,Fabiano,comercial@3cautopecas.com.br,870829,,Avaliação de novos fornecedores,Sim,Sim,"China, Coreia do sul",CEO
ISAPA IMPORTACAO E COMERCIO LTDA,61.327.045/0007-55,"R. Conselheiro Nébias, 1615 - Santa Cecilia, ",http://www.isapa.com.br/,Automobiles & Vehicles,Distribuidor,551128236500 ,Wladimir,wpjunior@isapa.com.br,870829,,Avaliação de novos fornecedores,Sim,Sim,"China, Coreia do sul",MANAGER
POWERPARTS BRASIL IMPORTACAO E COMERCIO DE AUTOPECAS LTDA,04.921.074/0001-11,"R. Branco de Morais, 240 - Chácara Santo Antônio (Zona Sul), ",https://www.powerpartsbrasil.com/,Automobiles & Vehicles,Distribuidor,551151837583 ,Manoel Messias de Oliveira,comercial@powerparts.com.br,870829,,Avaliação de novos fornecedores,Sim,Sim,"China, Coreia do sul",CEO
CHAINS COMERCIO DE COSMETICOS EIRELI - KLASME,29.048.820/0001-35,"Rua Vergueiro, 360 - CJ 606 - 
Liberdade",https://www.klasme.com/,Beauty & Living Ware,Distribuidor,551132084796 ,Heloisa Negrão,heloisa@klasme.com,3304,,Avaliação de novos fornecedores,Não,Não,"China, Europa",DIRETOR
Tecnopharma Farmacia de Manipulacao LTDA (DERMAGE),31.575.186/0001-30,"Praia Botafogo 00440 Sal 401
Botafogo
Rio de Janeiro RJ",https://www.dermage.com.br/,Beauty & Living Ware,Indústria,552122091500 ,Sylvia Figueiredo Lagden,slagden@dermage.com.br,3330499,330499,Demanda imediata (Importação nos próximos 3 Meses),Sim,Não,,MANAGER
SY COMPANY IMPORTACAO E EXPORTACAO LTDA,33.954.122/0001-76,"RUA RIBEIRO DE LIMA, Número 282, SALA 1501,BOM RETIRO
",https://www.instagram.com/ser.cosmetic/,Beauty & Living Ware,Distribuidor,5511999750086 ,Mun sik Lee,leo@llenter.com,33042010,33049990,Demanda futura (Importação nos próximos 6 meses),Sim,Sim,Coreia do sul,CEO
Danialex Tec - Material Medico Hospitalar Ltda.,01.686.305/0001-61,"Avenida Jose Wilker Ator, 00600 Loj 109 Loj 239",www.danialex.com.br,Health & Medical devices,Distribuidor,2134007065 ,Alexandre,alexandre@danialex.com.br,33049990,,Demanda futura (Importação nos próximos 6 meses),Sim,Não,"China, Índia, USA",CEO
POINT SUTURE DO BRASIL INDÚSTRIA DE FIOS CIRÚRGICOS LTDA,12.340.717/0001-61,"Rua Moacir, nº 435 Barra do Ceará",https://www.pointsuture.com.br/,Health & Medical devices,Distribuidor,558532112700 ,Ítalo Andrade,italo@pointsuture.com.br,33049990,,Demanda futura (Importação nos próximos 6 meses),Sim,Sim,"China, Europa, Índia, Coreia do sul",MANAGER
RICAMBI TRATORPECAS LTDA.,67.903.765/0001-02,"Avenida Baruel, 477 VILA BARUEL ",https://loja.ricambi.com.br/produtos,Automobiles & Vehicles,Distribuidor,551121640300 ,Guilherme Salles,Guilherme@ricambi.com.br,870829,,Demanda imediata (Importação nos próximos 3 Meses),Sim,Não,"China, Índia",MANAGER
PERSOL INDUSTRIA E COMERCIO DE PERSIANAS E CORTINAS LTDA,08.939.866/0001-74,"Avenida Jose Benassi, 2696, Lote 04, LOTEAMENTO PARQUE INDUSTRIAL,  ",https://www.persolpersianas.com.br/,Textiles & Leather Products,Distribuidor,1145815675 ,Rudinei,rudinei@persol.com.br,540753,,Avaliação de novos fornecedores,Sim,Sim,"China, Coreia do sul",CEO
Bella Co Ltda,72.344.591/0001-25,"Rua Progresso, 4172 - Progresso,  ",https://bellaeco.com.br/,Textiles & Leather Products,Indústria,554732213800 ,Gabriel,gabriel.tres@bellajanela.com.br,540753,,Avaliação de novos fornecedores,Sim,Não,China,MANAGER
GUILHERME BUSCH INDUSTRIA E COMERCIO DE PECAS AUTOMOTIVAS LTDA,61.147.971/0001-53,"R. Francisco Foga, 587 - Distrito Industrial Benedito Storani, ",https://gbusch.com.br/,Automobiles & Vehicles,Indústria,8000551953 ,Rafael Godoi,rafael.godoi@gbusch.com.br,85444200,,Demanda futura (Importação nos próximos 6 meses),Sim,Não,,STAFF
DIAFLEX PERSIANAS LTDA,07.416.685/0001-09,"Avenida Nelson Carraro, 1414, SANTO ANTAO",https://www.diaflexpersianas.com.br/,Textiles & Leather Products,Varejista,5434544787 ,Tiago,tiago@diaflexpersianas.com.br,540753,,Avaliação de novos fornecedores,Não,Não,,DIRETOR
Montserrat Comercial Importadora e Exportadora LTDA,66.581.935/0001-17,"Rua Afonsina 591 Anexo 597, Rudge Ramos, São Bernardo do Campo SP",https://www.montserratshop.com.br/,Health & Medical devices,Varejista,5511984607012 ,Márcio,marcio@cirumont.com.br,90183921,90183990,Demanda futura (Importação nos próximos 6 meses),Sim,Sim,China,CEO
Nordeste Comercio e Importacao de Peliculas LTDA,18.164.510/0001-60,"Rua Presidente Nilo Pecanha 1111A, Jardim America, Cabedelo PB",https://nordestefilms.com.br/,Automobiles & Vehicles,Varejista,558396882640 ,Robson,robson_fortaleza@hotmail.com,39199,,Avaliação de novos fornecedores,Sim,Não,China,CEO
BIOSINTEC WP YACHTS CONSTRUÇÃO EXPORTAÇÃO E IMPORTAÇÃO LTDA,27.168.024/0001-00,"R Castro Tavares, 65 - Manguinhos Rio de Janeiro",https://biosintec.com/,Machinery & Heavy equipment,Distribuidor,5521988010283 ,William Pena,william@biosintec.com,730900,,Demanda imediata (Importação nos próximos 3 Meses),Não,Não,,CEO
CAMARGO DISTRIBUIDORA DE PRODUTOS QUÍMICOS LTDA,09.445.614/0003-13,"Rua Alfonso Koch, 55 - Testo Central",www.camargoquimica.com.br,Chemicals & Pharmaceuticals,Indústria,554733342435 ,Andressa Tesser,compras@camargoquimica.com.br,382440,,Demanda futura (Importação nos próximos 6 meses),Sim,Não,"China, Índia",MANAGER
Plural - Industria de Produtos Quimicos LTDA,07.980.966/0001-81,"Rua Vicente d'Aquino, 70
JARDIM RICETTI",https://www.pluralquimica.com.br/,Chemicals & Pharmaceuticals,Indústria,551633612159 ,João Barbalho,barbalho@pluralquimica.com.br,382440,,Demanda futura (Importação nos próximos 6 meses),Sim,Não,"China, Índia",CEO
H STRATTNER E CIA LTDA,33.250.713/0001-62,"Praia Botafogo, 00228
Sala 1801/1901
BOTAFOGO",www.strattner.com.br,Health & Medical devices,Distribuidor,11984054445 ,Fernando Nakamura,fernando@strattner.com.br,901812,902214,Demanda futura (Importação nos próximos 6 meses),Sim,Não,"China, Europa, USA",MANAGER
Jose Carlos Lilli,04.340.582/0001-06,"Travessa Ipua, 1",https://lillidistribuidora.com.br/,Metals & Rubber & Plastic Products,Distribuidor,5517982008066 ,Leandro,lborgeso@yahoo.com.br,391990,,Demanda futura (Importação nos próximos 6 meses),Sim,Não,China,STAFF
Plastireal Industria e Comercio de Plasticos LTDA,53.234.274/0001-01,"Rua Frederico Esteban Junior, 230",https://plastireal.com.br/,Metals & Rubber & Plastic Products,Distribuidor,1123602601 ,Larissa Andrade,larissa.andrade@plastireal.com.br,391990,,Demanda futura (Importação nos próximos 6 meses),Sim,Não,"China, Israel e Chile",STAFF
AEROPORTOS DO NORDESTE DO BRASIL S/A,33.919.741/0001-20,"Rua Barao de Souza Leao, 425
Sala 1901 Edf Pontes Corporate Center
BOA VIAGEM",https://www.aenabrasil.com.br/pt/index.html,Others,Outros,5511919487713 ,Manuel Albertino Guedes Pinto,mpinto@aenabrasil.com.br,852380,,Avaliação de novos fornecedores,Não,Não,,STAFF
Fogozero Solucoes Contra Incendio LTDA,42.973.803/0001-72," Rua Pascoalina Orlando, 147",https://fogozero.com.vc/,Others,Varejista,554784118700 ,Thomas ,thomas@fogozero.com.vc,84818090,,Conference Call,Sim,Não,China,Diretor
PMZ DISTRIBUIDORA S.A (PMZ),22.763.502/0017-74,"Avenida Recife, 514
FLORES
",https://www.grupopmz.com/,Automobiles & Vehicles,Distribuidor,559236472650 ,Michael Santos,michael.santos@grupopmz.com.br,870830,,Conference Call,Não,Não,,STAFF
Localmed Comercio e Locacao de Equipamentos LTDA,12.255.403/0001-60,"Rua das Embaubas, 601
FAZENDA STO ANTONIO",https://www.imexmedicalgroup.com.br/,Health & Medical devices,Distribuidor,554832518966 ,Mário Bernardo Lopes,mario.lopes@imexmedicalgroup.com.br,90181210,,Demanda imediata (Importação nos próximos 3 Meses),Sim,Sim,"China, Europa, Índia, Coreia do sul",MANAGER
MASTERCOIN DA AMAZONIA INDUSTRIA E COMERCIO DE ELETRO-ELETRONICOS LTDA,08.211.271/0001-06,"Avenida Abiurana, 295
Bloco I
DISTRITO INDUSTRIAL",https://mastercoin.com.br/,Machinery & Heavy equipment,Distribuidor,552133112200 ,Marcelo Luiz da Costa Minervini,marcelo@mastercoin.com.br,847290,,Demanda imediata (Importação nos próximos 3 Meses),Sim,Sim,"China, Europa, USA",CEO
LUPORINI DISTRIBUIDORA DE AUTOPECAS LTDA,50.276.898/0001-01,"Rua Anhaia, 1213 BOM RETIRO",https://luporini.com.br/,Automobiles & Vehicles,Trading,551121055045 ,Pedro,pedro@luporini.com.br,870830,870830,Demanda futura (Importação nos próximos 6 meses),Sim,Sim,,STAFF
Kmart Mercearia e Presentes Ltda,22.575.273/0001-05,"RUA DOS ESTUDANTES, 41",https://www.koreamart.com.br/,Food and Drinks,Varejista,551133264911 ,MEE EUN AHN,kmart.liberdade@gmail.com,67049000,,Conference Call,Sim,Sim,China,CEO
ELLFAS,96.212.048/0001-32,"Rua Lobo, 80,VILA STA ISABEL",ellfas.com.br,Machinery & Heavy equipment,Trading,551120906860 ,Marcos Nakamura,m.nakamura@ellfas.com.br,8456200000,,Conference Call,Sim,Não,China,Gerente
FISCAL TECNOLOGIA E AUTOMACAO,00.113.691/0001-30,"Rua Eng. Júlio César de Souza Araújo, 266 CIC",https://fiscaltech.com.br/,"Electronics, Computers & Telecommunication",Prestadora de Serviço,554133143400 ,Diego Hoffmann,diego.hoffmann@fiscaltech.com.br,842389,,Demanda imediata (Importação nos próximos 3 Meses),Sim,Sim,"China, Coreia do sul",DIRETOR
INMAR CALDEIRAS INDUSTRIAIS E MARITIMAS,04.323.055/0001-93,"Rua Arthuro Ianni, 35",https://inmar.com.br/,Machinery & Heavy equipment,Distribuidor,551140220006 ,ROBSON,robson@inmar.com.br,902710,,Demanda futura (Importação nos próximos 6 meses),Sim,Não,China,DIRETOR
B&K IMPORTACAO E EXPORTACAO,39.828.292/0001-90,"AMARO ANTONIO VIEIRA, 2593, APT 304 BLOCO A",https://www.dentalprotese.com.br/,Health & Medical devices,Distribuidor,554832230400 ,Kirliam Maciel Dias,kirliam@dentalprotese.com.br,30064012,,Demanda imediata (Importação nos próximos 3 Meses),Sim,Sim,"China, Coreia do sul",DIRETOR
BARATAO DISTRIBUIDORA DE AUTO PECAS LTDA,08.435.337/0001-33,"Av. Castelo Branco, 4584 Quadra 22 LT 06 Rodoviário",https://barataodistribuidora.com.br/produtos/,Automobiles & Vehicles,Distribuidor,556232711919 ,Grazielle Peres Guimaraes,grazy.baratao@gmail.com,870830,,Demanda futura (Importação nos próximos 6 meses),Não,Não,,MANAGER
